"Variavel","Media","Mediana","Minimo","Maximo","DP","CV"
"area_territorial",687.59,363.82,3.56,10727.1,965.83,140.47
"populacao",24079.71,8048,833,2315560,94352.78,391.84
"densidade_demografica",69.09,22.09,1.21,6988.18,314.42,455.11
"populacao_estimada",25080.24,8237,856,2415872,98769.88,393.82
"escolarizacao",98.99,99.29,84.92,100,1.35,1.37
"idhm",0.67,0.67,0.53,0.81,0.05,7.43
"mortalidade_infantil",18.66,14.51,1.95,100,13.73,73.58
"receitas_brutas",181973241.86,56697158.96,1582348.32,19290095592.66,852433736.08,468.44
"despesas_brutas",173396898.73,52487344.35,21904283.86,19420989197.95,817182815.31,471.28
"pib_per_capita",34487.09,24727.7,9139.92,377790.63,33321.68,96.62
"z_pib",0,-0.29,-0.76,10.3,1,-1022978234093152000
"z_idhm",0,0.04,-2.8,2.92,1,503773890766068928
"z_escolarizacao",0,0.22,-10.39,0.75,1,-197322108637818464
"z_mortalidade",0,0.3,-5.92,1.22,1,1067307765426648576
"indice_desenvolvimento",0.02,0.04,-3.41,3.2,0.61,2618.8
